url,image_name,accession_number
http://fm-digital-assets.fieldmuseum.org/2818/456/V0616324F.jpg,V0616324F.jpg,1633051
http://fm-digital-assets.fieldmuseum.org/2818/498/V0616325F.jpg,V0616325F.jpg,1633046
http://fm-digital-assets.fieldmuseum.org/2818/671/V0616326F.jpg,V0616326F.jpg,1982787
http://fm-digital-assets.fieldmuseum.org/2818/827/V0616327F.jpg,V0616327F.jpg,1662351
http://fm-digital-assets.fieldmuseum.org/2819/294/V0616328F.jpg,V0616328F.jpg,1607947
http://fm-digital-assets.fieldmuseum.org/2819/044/V0616329F.jpg,V0616329F.jpg,1724685
http://fm-digital-assets.fieldmuseum.org/2818/342/V0616330F.jpg,V0616330F.jpg,1724698
http://fm-digital-assets.fieldmuseum.org/2818/347/V0616331F.jpg,V0616331F.jpg,1747766
http://fm-digital-assets.fieldmuseum.org/2818/698/V0616332F.jpg,V0616332F.jpg,2297126
http://fm-digital-assets.fieldmuseum.org/2818/859/V0616333F.jpg,V0616333F.jpg,2235051
http://fm-digital-assets.fieldmuseum.org/2819/086/V0616334F.jpg,V0616334F.jpg,2189676
http://fm-digital-assets.fieldmuseum.org/2818/820/V0616335F.jpg,V0616335F.jpg,1724587
http://fm-digital-assets.fieldmuseum.org/2818/569/V0616336F.jpg,V0616336F.jpg,1981873
http://fm-digital-assets.fieldmuseum.org/2818/944/V0616337F.jpg,V0616337F.jpg,1981871
http://fm-digital-assets.fieldmuseum.org/2818/869/V0616338F.jpg,V0616338F.jpg,1724593
http://fm-digital-assets.fieldmuseum.org/2818/461/V0616339F.jpg,V0616339F.jpg,1797469
http://fm-digital-assets.fieldmuseum.org/2819/178/V0616340F.jpg,V0616340F.jpg,1797468
http://fm-digital-assets.fieldmuseum.org/2818/987/V0616341F.jpg,V0616341F.jpg,1724588
http://fm-digital-assets.fieldmuseum.org/2818/937/V0616342F.jpg,V0616342F.jpg,2137278
http://fm-digital-assets.fieldmuseum.org/2819/337/V0616343F.jpg,V0616343F.jpg,1724473
http://fm-digital-assets.fieldmuseum.org/2819/270/V0616344F.jpg,V0616344F.jpg,2277675
http://fm-digital-assets.fieldmuseum.org/2818/558/V0616345F.jpg,V0616345F.jpg,<not-found>
http://fm-digital-assets.fieldmuseum.org/2818/522/V0616346F.jpg,V0616346F.jpg,<not-found>
http://fm-digital-assets.fieldmuseum.org/2819/031/V0616347F.jpg,V0616347F.jpg,<not-found>
http://fm-digital-assets.fieldmuseum.org/2818/581/V0616348F.jpg,V0616348F.jpg,1832749
